numero_processo;ente_devedor;valor;tipo;status_pagamento;tribunal;ano_orcamento;tempo_paga;retorno_anual;score;valor_float;score_juridico;score_total
0700689-07.2022.8.02.0032;Estado de Alagoas;R$ 17.108,02;Alimentar;PI;TJAL;2025;3;0.5874;;17108.02;80;31.83
0007438-83.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0056592-89.2007.8.02.0001;Estado de Alagoas;R$ 21.549,26;Alimentar;PI;TJAL;2025;3;0.5874;;21549.26;80;31.83
0705641-59.2021.8.02.0001;Estado de Alagoas;R$ 22.198,89;Alimentar;PI;TJAL;2025;3;0.5874;;22198.89;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
